SensorIndex_1,AccelX_1,AccelY_1,AccelZ_1,GyroX_1,GyroY_1,GyroZ_1,MagX_1,MagY_1,MagZ_1,Quat1_1,Quat2_1,Quat3_1,Quat4_1,Sampletime_1,Package_1,SensorIndex_2,AccelX_2,AccelY_2,AccelZ_2,GyroX_2,GyroY_2,GyroZ_2,MagX_2,MagY_2,MagZ_2,Quat1_2,Quat2_2,Quat3_2,Quat4_2,Sampletime_2,Package_2
0,0.28999999165534973,-0.5799999833106995,9.970000267028809,-0.0625,0.125,0,-13.875,-2,-34.75,0.9974044561386108,-0.030213279649615288,-0.01910455897450447,0.06250181794166565,49625,2289,1,-0.009999999776482582,0.2800000011920929,9.8100004196167,0,0.125,-0.125,6.5,-7.5,-38.875,0.9995669722557068,0.01226799562573433,0.002685531275346875,0.026611173525452614,60785,2289
0,0.30000001192092896,-0.5600000023841858,10,-0.125,0,0.0625,-13.875,-2,-34.75,0.9974044561386108,-0.030213279649615288,-0.01910455897450447,0.06250181794166565,49635,2290,1,-0.029999999329447746,0.2800000011920929,9.850000381469727,0,0.0625,-0.125,6.5,-7.5,-38.875,0.9995669722557068,0.01226799562573433,0.002685531275346875,0.026611173525452614,60794,2290
0,-0.20999999344348907,9.180000305175781,0.14000000059604645,3.5625,4.625,0.9375,8.875,-41,-20.6875,-0.6983206868171692,-0.6995413899421692,-0.12231750786304474,-0.08960184454917908,55489,1,1,-0.5400000214576721,9.75,-1.5499999523162842,2.875,1,-1.5,6.25,-38,-14,-0.5366889834403992,-0.6623009443283081,0.38538089394569397,0.35327601432800293,1110,1
0,-0.3799999952316284,9.1899995803833,-0.27000001072883606,3.8125,6.125,1.0625,8.875,-41,-20.6875,-0.698102593421936,-0.699689507484436,-0.12249448895454407,-0.08990252763032913,55499,2,1,-0.44999998807907104,9.710000038146973,-1.7100000381469727,2.4375,1.4375,-1.75,6.25,-38,-14,-0.5365177392959595,-0.6624986529350281,0.38532835245132446,0.3532227575778961,1120,2
0,-0.4099999964237213,9.15999984741211,-0.25999999046325684,4,5.875,0.9375,8.875,-41,-20.6875,-0.6978036761283875,-0.6998788118362427,-0.12280075252056122,-0.090330570936203,55509,3,1,-0.4000000059604645,9.720000267028809,-1.7100000381469727,2.34375,2.0625,-1.90625,6.25,-38,-14,-0.536368191242218,-0.6627088785171509,0.3852475881576538,0.3531436324119568,1130,3
0,-0.4050000011920929,9.179999828338623,-0.2749999910593033,3.9375,4.75,1.125,8.875,-41,-20.6875,-0.6975030899047852,-0.7000665068626404,-0.12316776067018509,-0.09069737046957016,55520,4,1,-0.38999998569488525,9.710000038146973,-1.7400000095367432,2.25,2.6875,-2.0625,6.25,-38,-14,-0.5362669229507446,-0.6629787683486938,0.38507944345474243,0.3529742360115051,1138,4
0,-0.4000000059604645,9.199999809265137,-0.28999999165534973,3.6875,3.25,1.0625,8.875,-38,-20.6875,-0.6971867680549622,-0.7002995014190674,-0.1234099343419075,-0.09100109338760376,55529,5,1,-0.4099999964237213,9.630000114440918,-1.75,2.5625,3.9375,-2.75,8.25,-40.6875,-14.875,-0.5362101197242737,-0.6632281541824341,0.384838342666626,0.3528549373149872,1148,5
0,-0.3499999940395355,9.229999542236328,-0.27000001072883606,3.625,2.0625,1.25,8.875,-38,-20.6875,-0.6969497203826904,-0.7004896998405457,-0.12353325635194778,-0.09118512272834778,55539,6,1,-0.41999998688697815,9.600000381469727,-1.8200000524520874,3.6875,3.8125,-2.875,8.25,-40.6875,-14.875,-0.5361213684082031,-0.6635600328445435,0.384574294090271,0.3526535928249359,1160,6
0,-0.3199999928474426,9.1899995803833,-0.3199999928474426,3.875,1.8125,1.125,8.875,-38,-20.6875,-0.6967126131057739,-0.7006798982620239,-0.12365657091140747,-0.0913691446185112,55549,7,1,-0.41999998688697815,9.609999656677246,-1.9500000476837158,4.1875,3.8125,-2.9375,8.25,-40.6875,-14.875,-0.535945475101471,-0.6639351844787598,0.38433536887168884,0.35247525572776794,1169,7
0,-0.28999999165534973,9.220000267028809,-0.25999999046325684,3.25,1.375,1.1875,8.875,-38,-20.6875,-0.6964232921600342,-0.700939953327179,-0.12372042238712311,-0.09149329364299774,55559,8,1,-0.41999998688697815,9.59000015258789,-1.850000023841858,4.375,4.28125,-3.0625,8.25,-40.6875,-14.875,-0.535746693611145,-0.664342999458313,0.3841410279273987,0.3522208034992218,1180,8
0,-0.29999999701976776,9.224999904632568,-0.2549999952316284,3.125,1.5625,1.1875,8.875,-38,-20.6875,-0.6961705684661865,-0.7011754512786865,-0.12371889501810074,-0.0916142389178276,55570,9,1,-0.4300000071525574,9.640000343322754,-1.809999942779541,4.5625,4.75,-3.1875,8.25,-40.6875,-14.875,-0.535528302192688,-0.6648021936416626,0.38391533493995667,0.351932555437088,1188,9
0,-0.3100000023841858,9.229999542236328,-0.25,2.8125,1.875,1.0625,9.25,-38.6875,-20.6875,-0.6959383487701416,-0.7013705968856812,-0.12378205358982086,-0.09179892390966415,55579,10,1,-0.4399999976158142,9.6899995803833,-1.8300000429153442,4.875,5.8125,-3.6875,7.1875,-39.875,-13.6875,-0.5353337526321411,-0.6653372645378113,0.38360193371772766,0.3515588343143463,1198,10
0,-0.3400000035762787,9.270000457763672,-0.28999999165534973,2.6875,2.5,0.875,9.25,-38.6875,-20.6875,-0.6957414746284485,-0.7015398144721985,-0.12384064495563507,-0.0919191762804985,55589,11,1,-0.47999998927116394,9.720000267028809,-1.8700000047683716,4.9375,7.5625,-4.25,7.1875,-39.875,-13.6875,-0.5351514220237732,-0.6658875942230225,0.383236289024353,0.3511931300163269,1210,11
0,-0.4000000059604645,9.1899995803833,-0.36000001430511475,2.375,1.875,1.0625,9.25,-38.6875,-20.6875,-0.6955038905143738,-0.7017295360565186,-0.12396387755870819,-0.09210314601659775,55599,12,1,-0.550000011920929,9.670000076293945,-2.130000114440918,4.625,8,-4.0625,7.1875,-39.875,-13.6875,-0.5349584817886353,-0.6664856672286987,0.38286304473876953,0.35075944662094116,1219,12
0,-0.25999999046325684,9.1899995803833,-0.3199999928474426,1.9375,0.0625,0.9375,9.25,-38.6875,-20.6875,-0.6952753067016602,-0.7019283771514893,-0.12402769178152084,-0.09222728759050369,55609,13,1,-0.5299999713897705,9.609999656677246,-2.049999952316284,4.5625,8.25,-4.25,7.1875,-39.875,-13.6875,-0.5347890853881836,-0.6671130657196045,0.3824456036090851,0.35028013586997986,1230,13
0,-0.12999999523162842,9.239999771118164,-0.2800000011920929,1.6875,-0.5,0.875,9.25,-38.6875,-20.6875,-0.6951242685317993,-0.7020822167396545,-0.12396148592233658,-0.09228447079658508,55619,14,1,-0.5099999904632568,9.59000015258789,-1.9900000095367432,5.375,7.875,-3.875,7.1875,-39.875,-13.6875,-0.5346638560295105,-0.6677194833755493,0.3819550573825836,0.3498508334159851,1238,14
