Time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_angle_r_beta,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_angle_l_beta,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,wrist_flex_r,wrist_dev_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,wrist_flex_l,wrist_dev_l
5.000000000000000278e-02,1.300628047933267669e-03,8.886206245516742796e-04,6.807916626568134566e-01,0.000000000000000000e+00,9.399999999999999467e-01,0.000000000000000000e+00,-1.031502112986522161e-03,2.015193665588871862e-04,-2.188148938094702670e-04,3.781655191724397620e-04,3.777200766150399505e-04,-1.443556308034346701e-04,3.308319595443256769e-07,0.000000000000000000e+00,-1.528773368649497845e-03,-3.542783453939969034e-04,-2.496459655142484668e-04,2.480205393398451919e-04,2.485283905274600098e-04,5.473755162412248000e-04,5.313585762102216609e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,2.688464264823389131e-03,1.802576016727811155e-03,6.804002704669002144e-01,0.000000000000000000e+00,9.399999999999999467e-01,0.000000000000000000e+00,-2.282557250438280953e-03,5.597554322121101739e-04,-2.057754248804919556e-04,5.074770883982685160e-04,5.130332885627337993e-04,-4.359688189027756248e-04,8.240141380136841419e-07,0.000000000000000000e+00,-3.214537620934228464e-03,-6.612327428312836678e-04,-5.297750331911852762e-04,4.329505301150609318e-04,4.300853943008769694e-04,7.971277585859587109e-04,2.874931078953862088e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,3.587149639746956345e-03,2.557832262817132975e-03,6.800611221809762519e-01,0.000000000000000000e+00,9.399999999999999467e-01,0.000000000000000000e+00,-2.726416619464382303e-03,6.769165820220002109e-04,-2.630829649838040043e-04,7.943623878229533935e-04,7.972421498076119346e-04,-1.318874972155720986e-03,5.106998212914387581e-06,0.000000000000000000e+00,-4.062261365481161998e-03,-1.031474720345418837e-03,-7.551073109636213679e-04,9.188913609655309251e-04,9.204377403438661516e-04,9.189809816852781118e-04,-6.985041849790239932e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,3.690914991680773524e-03,2.832153485044420008e-03,6.798813795086028344e-01,0.000000000000000000e+00,9.399999999999999467e-01,0.000000000000000000e+00,-2.614474710476671730e-03,7.572502830120389364e-04,-3.762953610408169953e-04,7.572561973770179297e-04,7.566053245492806089e-04,-1.302210654363554270e-03,5.029831426960242255e-06,0.000000000000000000e+00,-4.079195063525903157e-03,-1.143307208485761515e-03,-7.097464853282126540e-04,9.637479277640414142e-04,9.562142716485792174e-04,9.485900934347088866e-04,5.525820958165393029e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,5.924905329551672685e-03,3.801348912308634420e-03,6.795828578868515768e-01,0.000000000000000000e+00,9.399999999999999467e-01,0.000000000000000000e+00,-4.130969849189420132e-03,1.587003983228792029e-03,3.828780149503481858e-06,1.517024553243461740e-03,1.517368557009499347e-03,-1.739406391144096261e-03,-1.219160974018699317e-06,0.000000000000000000e+00,-6.256709571634089945e-03,-2.050281851900878985e-03,-1.285085408460252864e-03,2.074844917306054200e-03,2.074631499684750566e-03,2.139185681649066664e-03,1.346573857420290764e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-01,6.608923610266013993e-03,4.348609191546774777e-03,6.795727293568782912e-01,0.000000000000000000e+00,9.399999999999999467e-01,0.000000000000000000e+00,-4.288091353076013690e-03,1.701416111178121913e-03,-2.519612589504977994e-04,1.822536362511703416e-03,1.812241482550389863e-03,-2.252381283667960563e-03,-1.566795059367816887e-05,0.000000000000000000e+00,-6.719256526863575177e-03,-2.325929173852731707e-03,-1.587942404221983966e-03,2.525922914310841337e-03,2.513497812972376871e-03,2.126428198972141800e-03,1.572182092910528025e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,7.479250993339666385e-03,4.747614825481691510e-03,6.793049534121343713e-01,0.000000000000000000e+00,9.399999999999999467e-01,0.000000000000000000e+00,-4.519699819395200414e-03,2.410112074648400153e-03,-1.444718811921030571e-05,2.538987979773126707e-03,2.537614336395092873e-03,-2.403177202741783695e-03,-1.220354584200864840e-05,0.000000000000000000e+00,-7.512593803278652498e-03,-3.053145933952379140e-03,-1.889380363025350631e-03,3.265774011222356311e-03,3.263058280853193237e-03,3.060955302340982297e-03,2.011139123113824965e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000222e-01,8.450534775730135506e-03,5.242191796301978561e-03,6.786733863452795168e-01,0.000000000000000000e+00,9.399999999999999467e-01,0.000000000000000000e+00,-4.685457659963553935e-03,3.001064530540712826e-03,6.800384655709226312e-04,3.718121069241200460e-03,3.716091297077561695e-03,-1.801675819366777530e-03,-2.471757452450695241e-05,0.000000000000000000e+00,-8.102551332447773674e-03,-3.712690835753975835e-03,-2.872872986290263275e-03,4.102222350450773422e-03,4.101006260842121262e-03,3.191481552625868162e-03,4.714289277723749034e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,8.980866389062158034e-03,5.852731595080552449e-03,6.784374639468226942e-01,0.000000000000000000e+00,9.399999999999999467e-01,0.000000000000000000e+00,-4.646894494816206610e-03,3.149736637176444622e-03,1.098673261811146861e-03,4.324978916366590403e-03,4.325927755118598103e-03,-2.711694320714956932e-03,-4.321699443105276293e-05,0.000000000000000000e+00,-8.646239697382413977e-03,-3.816783087628207449e-03,-3.010536297142306274e-03,4.468198770614869274e-03,4.464904689509335486e-03,3.213688433638485064e-03,2.799333311238310027e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e-01,1.017641400849758626e-02,6.568654611343622586e-03,6.779893251113290331e-01,0.000000000000000000e+00,9.399999999999999467e-01,0.000000000000000000e+00,-5.169289092488465326e-03,3.621036589682831430e-03,1.094623224334065510e-03,5.285460448253282220e-03,5.285330323554207274e-03,-2.510803909994099858e-03,-5.407105774989798757e-05,0.000000000000000000e+00,-1.004867752327978127e-02,-4.279302006852621354e-03,-3.335693006236894933e-03,4.918023960850249725e-03,4.916642096640063721e-03,3.951948852324468214e-03,2.722857049651941435e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
